"act","prompt"
"🔒 Gerador Politica de Privacidade","Crie uma Política de Privacidade para meu site que cumpre com
Lei LGPD.

Nome da Empresa: ➡️Ideias ChatGPT⬅️
Domínio do Site: ➡️https://ideiaschatgpt.com.br⬅️
Endereço de E-mail: ➡️ideiaschatgpt@gmail.com⬅️
Utiliza: ➡️Cookies, Adsense⬅️
Língua: ➡️Português⬅️

Escreva o texto abaixo de cada subcabeçalho.

CONTROLADORA DOS DADOS:
Como funciona o tratamento de dados por parte da Empresa.
Com quem compartilhamos os Dados Pessoais?
Com quem compartilhamos os Dados Pessoais?
Política de Cookie
O que são cookies?
Como usamos os cookies?
Desativar cookies.
Cookies que definimos.
Por que utilizamos Cookies?
Quais tipos de cookies são utilizados?
Por quanto tempo guardamos os Dados Pessoais?
Quais são os direitos relacionados aos Dados Pessoais?
Compromisso do Usuário.
Canais de contato.
Mais informações."
"💬 Modelo de Contrato Gestão de redes sociais","Gere um Modelo de Contrato Gestão de redes sociais com a seguinte estrutura:

CLÁUSULA PRIMEIRA: DA PRESTAÇÃO DE SERVIÇOS:
CLÁUSULA SEGUNDA: DAS CONDIÇÕES DA PRESTAÇÃO DOS SERVIÇOS:
CLÁUSULA TERCEIRA: PRAZO:
CLÁUSULA QUINTA: DIREITOS AUTORAIS:
CLÁUSULA SEXTA: VALORES E FORMAS DE PAGAMENTO:
CLÁUSULA SÉTIMA: RESCISÃO DE CONTRATO:
CLÁUSULA SÉTIMA: DISPOSIÇÕES GERAIS:"
"💬 Modelo de Contrato Prestação de Serviços","Gere um Modelo de Contrato Prestação de Serviços de Gestão de Redes Sociais (Social Mídia) com a seguinte estrutura:

1. SERVIÇO
2. DO CRONOGRAMA E VIGÊNCIA
3. DA REMUNERAÇÃO E CONDIÇÕES DE PAGAMENTO
4. DA PUBLICIDADE
5. DAS OBRIGAÇÕES
6. PROTEÇÃO À IMAGEM
7. DAS APROVAÇÕES DE MATERIAL
8. DA RESCISÃO"
"💬 Modelo de Contrato de Gestão de Tráfego","Gere um Modelo de Contrato de Gestão de Tráfego PARA MÍDIA SOCIAL com a seguinte estrutura:

1. Do objeto do contrato
2. Do prazo para a realização do serviço de gestão de tráfego
3. Das obrigações da parte CONTRATADA
4. Das obrigações da parte CONTRATANTE
5. Renovação do Contrato
6. Da Rescisão Contratual
7. Da forma de pagamento
8. Da eleição do foro"
"📝 Gerador de Conteúdo Social Mídia - HESEC","Gere uma estrutura de conteúdo de mídia social com
Estrutura HESEC (Humanize, Educate, Solve, Entertain, Convert) para:
Nome da marca: ➡️Sua Marca⬅️
Nicho: ➡️Descreva seu nicho e produtos/serviços⬅️"
"📝 Gerador de Conteúdo Social Mídia - HERO","Gere uma estrutura de conteúdo de mídia social com Estrutura HERO (Human, Emotional, Remarkable, Offer) para:
Nome da marca: ➡️Sua Marca⬅️
Nicho: ➡️Descreva seu nicho e produtos/serviços⬅️"
"📝 Gerador de Conteúdo Social Mídia - PEACE","Gere uma estrutura de conteúdo de mídia social com
PEACE (Plan, Engage, Amplify, Convert, Evaluate) para:
Nome da marca: ➡️Sua Marca⬅️
Nicho: ➡️Descreva seu nicho e produtos/serviços⬅️"
"📝 Gerador de Meta-Descrição","Eu quero que você atue como um escritor de meta descrição de postagem de blog que fala e escreve fluentemente português. Quero que você gere meta título e meta descrição para o seguinte título de postagem do blog: [Descrição]
Adicione um Título com 70-80 caracteres e inserir a palavra-chave no início, descrição com no máximo 160 caracteres sem palavra-chave. Por favor, crie uma tabela com duas colunas de título e descrição e insira seu resultado lá."
"📝 Descrição para produtos","Crie uma descrição de produto rica e significativa para o produto de comércio eletrônico e encontre as melhores informações H1 e Meta. ➡️Digite o nome descritivo do produto⬅️"
"✍️ Copywriting","Escreva uma Copy de vendas usando o modelo AIDA sobre
➡️descreva seu produto e depois o nome⬅️"
"✍️ Copywriting","Escreva uma Copy de vendas usando a fórmula PSA sobre
➡️descreva seu produto e depois o nome⬅️
Escreva uma Copy do antes e depois sobre ➡️descreva seu
produto e depois o nome⬅️"
"🌐 Página de vendas","Escreva uma página de vendas sobre os recursos,
vantagens e benefícios ➡️descreva seu produto e depois o nome⬅️"
"🌐 Página de vendas","Escreva uma página de vendas de solução para dor, agitação e sobre ➡️descreva seu produto e depois o nome⬅️ Escreva um problema, promessa, página de prova de vendas sobre ➡️descreva seu produto e depois o nome⬅️"
"📰 Post para Blogs","Você é um escritor de conteúdo experiente em SEO que está a escrever um artigo optimizado de SEO para um cliente. Este cliente está à procura de um artigo de alta qualidade, optimizado em SEO, sobre ➡️Tema da postagem⬅️ que pode ajudar o seu site a melhorar a sua classificação nos motores de busca. Certifique-se de que o artigo é 100% único e escrito em linguagem natural e clara. Utilizar subtítulos e títulos relevantes e ricos em palavras-chave, e certificar-se de que o artigo tem uma estrutura lógica e coerente. Fornece títulos H1, H2, H3 em formato markdown. O seu artigo deve incluir informação relevante e atualizada que os leitores considerem valiosa e útil. Não se esqueça de incorporar as palavras-chave relevantes de uma forma natural, sem sobrecarregar o artigo. No final do artigo, certifique-se de fornecer um resumo conciso e relevante do tópico abordado."
"🔖 Melhorador de Títulos","Torne o título do artigo a seguir mais envolvente e digno de clique: ➡️seu título atual⬅️"
"🔖 Títulos CTA","Escreva 5 exemplos de títulos alternativos com uma taxa de cliques mais alta para ➡️título do artigo atual⬅️."
"💲 Script para VSL","Sua tarefa é criar um script para um VÍDEO DE VENDAS detalhado para um produto específico voltado a uma persona em um nicho específico. Seu objetivo é ser persuasivo na língua Portuguesa.

Vídeo de vendas para 
PRODUTO: ➡️digite aqui qual é o seu produto⬅️
NICHO: ➡️digite aqui qual é o seu nicho⬅️

Etapa 01: Público-Alvo
O que queremos alcançar (Quem é a persona, Qual é a necessidade dela, Qual é a dor dela, Qual é o objetivo dela)

| answer Respostas para cada ponto de dados com base no [NICHO - PERSONA] específico

Etapa 02: HISTÓRIA DA PERSONA
Um resumo da pessoa e da história
Valor central (O que está em jogo na vida dela?),
Protagonista (Quem conduzirá a história, você ou ela?),
Sociedade (Onde isso está acontecendo?),
Tempo (Quando está acontecendo, ou já aconteceu?)
| answer Respostas para cada ponto de dados na Coluna 1 com base no [NICHO - PERSONA] específico

Etapa 03: PROBLEMA
Resumo do problema específico da [PERSONA] que o produto pode resolver
| answer Resposta com detalhes sobre o problema da [PERSONA] com base no [NICHO - PERSONA] específico

Etapa 4: SOLUÇÃO
Resumo da solução que o produto oferece para o problema da [PERSONA]
| answer Detalhes sobre a solução do produto com base no [NICHO - PERSONA] específico

Etapa 05: BENEFÍCIOS
O que a [PERSONA] ganha com o produto (Benefício 1, Benefício 2, Benefício 3, Benefício 4)
| answer Detalhes sobre cada benefício com base no [NICHO - PERSONA] específico

Etapa 06: PROVA SOCIAL
Resumo das evidências sociais que comprovam a eficácia do produto
| answer Detalhes sobre as evidências sociais com base no [NICHO - PERSONA] específico

Etapa 7: GARANTIA
Resumo da garantia oferecida para o produto
| answer Detalhes sobre a garantia com base no [NICHO - PERSONA] específico

Etapa 08: Preço a ser cobrado
Valor do produto com a comparação de coisas que tenham o preço parecido, aumentando a percepção desse valor
| answer Detalhes sobre o valor com base no [NICHO - PERSONA] específico

Etapa 09: Call to Action | answer

Certifique-se de que sua resposta esteja estruturada em um formato de carta de vendas sem que apareçam as perguntas. Você criará a PERSONA e usará ela como base para todas as respostas que precisar. Não escreva o que são as etapas, transforme isso na própria resposta. Não utilize a palavra PERSONA em suas respostas."
"👀 Encontre sua audiência ideal - Buyer Persona/Avatar","Você é um pesquisador de marketing Portuguese.

PRODUTO: ➡️digite aqui qual é o seu produto⬅️
NICHO: ➡️digite aqui qual é o seu nicho⬅️

Sua tarefa é gerar uma BUYER PERSONA detalhada para um [PRODUTO] sobre [NICHO].

Estruture sua resposta em 5 tabelas separadas.
Acima da primeira tabela escreva BUYER PERSONA [PRODUTO]
e substitua [NICHO] por [PRODUTO - NICHO].
Aqui está o formato necessário para cada tabela:

Tabela 01: Demográficos
2 colunas e 7 linhas
Coluna 1 = Pontos de dados (Nome, Idade, Ocupação, Renda mensal, Estado civil, Situação familiar, Localização)
Coluna 2 = Respostas para cada ponto de dados na Coluna 1 com base no [NICHO] específico
Tabela 02: Descrição do usuário
Um resumo da persona do usuário revelando as duas Características mais marcantes dela em até 240 caracteres.
Tabela 03: Psicográficos
2 colunas e 9 linhas
Coluna 1 = Pontos de dados (Características pessoais, Oportunidade que mudaria a vida dele, Interesses, Aspirações pessoais, Receio interno que ele guarda para si, Dores, Principais problemas que ele precisa resolver, Necessidades, Sonhos)
Coluna 2 = Respostas para cada ponto de dados na Coluna 1 com base no [NICHO] específico
Tabela 04: Comportamentos de compra
2 colunas e 8 linhas
Coluna 1 = Pontos de dados (Orçamento, Frequência de compras, Canais preferidos, Comportamento online, Termos de pesquisa, Marcas preferidas, Gatilhos, Barreiras)
Coluna 2 = Respostas para cada ponto de dados na Coluna 1 com base no [PRODUTO] específico
Tabela 05: Anti-Avatar
Um resumo de uma pessoa que seja o oposto da persona do usuário descrita revelando as características daqueles que você não quer que sejam a persona do usuário em até 240 caracteres.
Certifique-se de que sua resposta esteja estruturada em 5 tabelas separadas e tenha uma linha separada para cada ponto de dados. Não forneça marcadores."
"📩 E-mail Marketing","Você pode criar uma campanha de email marketing para ➡️Descreva seu nicho e produtos/serviços⬅️ usando a estratégia AIDA? Seu trabalho é fingir ser um estrategista de marketing com mais de 10 anos de experiência no setor e um especialista em técnicas de comunicação persuasiva. A estratégia AIDA significa Atenção, Interesse, Desejo e Ação. Sua tarefa é criar vários e-mails para cada etapa da estratégia. Na primeira coluna de uma tabela, liste o estágio AIDA para cada e-mail que você criar. Na segunda coluna, escreva a linha de assunto de cada e-mail. A linha de assunto deve atrair a atenção do leitor e induzi-lo a abrir o e-mail. Na terceira coluna, escreva o corpo do e-mail. O corpo deve ser informativo e envolvente e deve seguir a estratégia AIDA para o estágio em que se encontra. Na quarta coluna, escreva a frase de chamariz para cada e-mail. A chamada à ação deve ser clara, específica e incentivar o leitor a realizar a ação desejada. Depois de receber o nome do serviço ou produto, incluindo seus benefícios, prossiga com a criação do plano de estratégia de email marketing com base nesse produto ou serviço. Certifique-se de colocar este plano em uma mesa bem organizada com uma mesa."
"📩 E-mail Marketing - Aviso de atraso na entrega","Escrever um e-mail informando um cliente sobre um atraso no envio da sua compra. Incluir detalhes sobre a causa do atraso e a nova data de entrega estimada. Certifique-se de incluir uma chamada clara à ação para que o cliente saiba como pode obter mais informações ou resolver quaisquer questões relacionadas com o atraso. Incluir espaços em branco para personalização no e-mail."
"📅 Cronograma de conteúdo","Gere um Cronograma de conteúdo com a seguinte estrutura:

[Tipo de Conteúdo]
[Canal]: Tiktok, Youtube, Facebook, Instagram
[Horário]: Sugerir os melhores horários de engajamento.

Formate tudo em uma tabela.

Cada tabela deve conter [Tipo de Conteúdo], [Canal] e [Horário] o título da publicação, uma breve descrição.

Classifique palavras-chave de cauda longa específicas para minha palavra-chave. Gere títulos no estilo clickbait para essas postagens.Inclua as melhores hashtags para a palavra-chave. A palavra-chave que estou segmentando é: ➡️Bitcoin⬅️."
"📅 Calendario Social Mídia","Gostaria que você me ajudasse a criar um calendário de conteúdo valioso para minha conta do Instagram que respondesse às perguntas mais frequentes e aos tópicos mais interessantes sobre minha palavra-chave que é ➡️seu tópico de conteúdo⬅️. Selecione títulos no estilo clickbait para essas postagens. Organize o título de cada postagem do Instagram em uma tabela para que pareça um calendário. Cada tabela deve conter os dias de segunda a sexta, o título da publicação, uma breve descrição, o formato (reels, carrossel, imagem). Separe cada placa em quatro
semanas."
"📅 Calendario Social Mídia - 2","Gere uma programação de conteúdo para o Instagram, classifique palavras-chave de cauda longa específicas para minha palavra-chave. Gere títulos no estilo clickbait para essas postagens. Separe por semanas. A palavra-chave que estou segmentando é: ➡️Adicione sua palavra-chave⬅️."
"📰 Post para Blog","Crie um resumo de conteúdo detalhado para ➡️Adicione sua palavra-chave⬅️ em português. Inclua palavras-chave de nível superior, palavras-chave de cauda longa, um esboço de cabeçalho e notas para o tópico. Em seguida, escreva tags de título e meta descrições sugeridas, mantendo-as dentro dos respectivos limites de caracteres de 70 e 160. Depois disso, escreva algum texto abaixo de cada subcabeçalho. Em seguida, expanda cada um dos marcadores numerados com uma explicação curta e precisa de como executar/implementar cada etapa. Coloque todo esse conteúdo em um blog post estruturado em português."
"🎯 Facebook Ads","Quero que você atue como especialista em inbound marketing e copywriter.
Eu quero que você escreva 15 cópys longas e diferentes de conformidade com anúncios do Facebook usando emoção e desejos humanos, dando a cada um delas uma curiosidade e convertendo o título.
Fornecerei a você o ➡️Nome do produto⬅️ e o ➡️Avatar do cliente⬅️ para o produto.
Ao escrever essas 15 longas cópias de conformidade de anúncios do Facebook, dois fatores são cruciais, perplexidade e estouro. A perplexidade mede a complexidade do texto. Separadamente, o burstiness compara as variações das sentenças. Os seres humanos tendem a escrever com maior rajada, por exemplo, com algumas frases mais longas ou complexas ao lado de outras mais curtas. As sentenças de IA tendem a ser mais uniformes. Portanto, ao escrever essas 15 cópias longas de conformidade com anúncios do Facebook, preciso que tenha uma boa quantidade de perplexidade e estouro."
"🎯 Facebook Ads","Escreva uma copy do anúncio para uma campanha publicitária no Facebook para uma ➡️empresa/marca⬅️ que segmente uma [persona do cliente] específica e os convença a realizar uma [ação específica]. Use linguagem forte e descritiva, frases de chamariz atraentes e mensagens com foco nos benefícios] para destacar o texto do anúncio no feed de notícias e persuadir o leitor. Considere os [pontos problemáticos e desejos do cliente] e a [proposta de valor exclusiva da empresa] ao elaborar a copy do anúncio e certifique-se de [testar e otimizar a copy do anúncio] para garantir a máxima eficácia."
"🎯 Google Ads","Você pode me fazer um total de três listas com títulos no tópico? Pretendo usar esses títulos para o Google Ads. Gere essas listas na forma de tabelas. Cada tabela deve ter uma coluna. O respectivo cabeçalho é exibido na coluna. A primeira lista é criar 30 cabeçalhos com o tema ➡️seu tema aqui⬅️, cada um com 20 a 30 caracteres, incluindo espaços? Pretendo usar esses títulos para o Google Ads. Também imprima esta lista na forma de uma tabela. O título da coluna deve ser Títulos (máx. 30 caracteres). O cabeçalho da coluna deve ser traduzido para português. Você pode me fornecer outra lista de 30 manchetes nítidas com o tema ➡️seu tema aqui⬅️, cada uma com 30 a 60 caracteres, incluindo espaços? Pretendo usar esses títulos para o Google Ads. Também imprima esta lista na forma de uma tabela. A tabela deve ter uma coluna. O respectivo cabeçalho ou manchete é exibido na coluna. O título da coluna deve ser Títulos longos e descrições (máx. 60 caracteres). Você poderia me fornecer uma lista de 30 cabeçalhos nítidos relacionados ao ➡️Adicione sua palavra-chave⬅️, cada um com um mínimo de 70 e um máximo de 90 caracteres, incluindo espaços? Pretendo usar esses títulos para o Google Ads. Também imprima esta lista na forma de uma tabela. A tabela deve ter uma coluna. O respectivo cabeçalho ou manchete é exibido na coluna. O título da coluna deve ser Títulos longos e descrições (máx. 60 caracteres). Não use o termo mencionado ➡️Adicione sua palavra-chave⬅️ com muita frequência."
"📈 Google Ads RSA","Crie dois anúncios do Google em um formato RSA (usando vários títulos e descrições) para um teste A/B para ➡️Descreva seu nicho e produtos/serviços⬅️. Explique por que os anúncios seriam um bom teste”."
"🔍 Palavras-chave para SEO","Crie uma estratégia de palavras-chave e um plano de conteúdo de SEO a partir de ➡️Adicione sua palavra-chave⬅️"
"🔍 Meta Descrição","Gere uma meta descrição com no máximo 160 caracteres e contenha esta palavra-chave ➡️palavra-chave⬅️ usando as seguintes informações: ➡️resumo da página da web⬅️"
"🌐 Tradutor","Traduza o seguinte texto de ➡️idioma⬅️ para ➡️idioma⬅️: ➡️texto⬅️. Use um dicionário ou software de tradução para garantir que a tradução seja precisa e fiel ao texto original. Evite usar traduções literais e procure transmitir o mesmo significado e tom do texto original."
